name,url,tree,brand,size,price,promotion,
Apple Envy USA,https://coldstorage.com.sg/apple-envy-70c-prm-030353,fruits-vegetables/fresh-fruits/apples-pears,,.,$2.50,Buy 3 @ $5.90
Apple Fuji China,https://coldstorage.com.sg/apple-fuji-china-129160,fruits-vegetables/fresh-fruits/apples-pears,,1EA,$1.70,Buy 3 @ $4.50
Pear Packham ,https://coldstorage.com.sg/pear-packham-56-64c-119768,fruits-vegetables/fresh-fruits/apples-pears,,1EA,$1.80,Buy 3 @ $4.50
Apple Royal Gala Bag ,https://coldstorage.com.sg/apple-royal-gala-8s-bag-079633,fruits-vegetables/fresh-fruits/apples-pears,,8 a bag,$5.95,
Apple Royal Gala New Zealand,https://coldstorage.com.sg/apple-royal-gala-nz-100c-083942,fruits-vegetables/fresh-fruits/apples-pears,,.,$1.20,Buy 3 @ $2.90
Apple Granny Smith,https://coldstorage.com.sg/apple-granny-smith-100c-084088,fruits-vegetables/fresh-fruits/apples-pears,,1EA,$1.20,Buy 3 @ $2.90
Apple Granny Smith Bag ,https://coldstorage.com.sg/apple-granny-smith-bag-079158,fruits-vegetables/fresh-fruits/apples-pears,,8 a bag,$5.95,
Pear Shingo Jumbo,https://coldstorage.com.sg/pear-shingo-jumbo-127200,fruits-vegetables/fresh-fruits/apples-pears,,1EA,$4.00,Buy 3 @ $9.90
Apple Envy 6 Pieces,https://coldstorage.com.sg/apple-envy-6s-169167,fruits-vegetables/fresh-fruits/apples-pears,,6S,$5.90,
Apple Jazz Premium Bag,https://coldstorage.com.sg/apple-jazz-prem-6s-129368,fruits-vegetables/fresh-fruits/apples-pears,,6S,$4.90,
Pear Korea 2 Pieces,https://coldstorage.com.sg/pear-korea-2s-171040,fruits-vegetables/fresh-fruits/apples-pears,,1PUN,$8.50,
Feng Shui Pear 2s,https://coldstorage.com.sg/pear-fong-sui-taiwan-2s-022246,fruits-vegetables/fresh-fruits/apples-pears,,2S,$7.95,
PEAR CONFERENCE,https://coldstorage.com.sg/pear-conference-3s-117901,fruits-vegetables/fresh-fruits/apples-pears,,1PKT,$4.95,
