name,url,tree,brand,size,price,promotion,tags,
Apple Envy USA,https://coldstorage.com.sg/apple-envy-70c-prm-030353,fruits-vegetables/fresh-fruits/apples-pears,,.,$2.50,Buy 3 @ $5.90,"fruits,vegetables,fresh,apples,pears,Apple,Envy,USA"
Apple Fuji China,https://coldstorage.com.sg/apple-fuji-china-129160,fruits-vegetables/fresh-fruits/apples-pears,,1EA,$1.70,Buy 3 @ $4.50,"fruits,vegetables,fresh,apples,pears,Apple,Fuji,China"
Pear Packham ,https://coldstorage.com.sg/pear-packham-56-64c-119768,fruits-vegetables/fresh-fruits/apples-pears,,1EA,$1.80,Buy 3 @ $4.50,"fruits,vegetables,fresh,apples,pears,Pear,Packham"
Apple Royal Gala Bag ,https://coldstorage.com.sg/apple-royal-gala-8s-bag-079633,fruits-vegetables/fresh-fruits/apples-pears,,8 a bag,$5.95,,"fruits,vegetables,fresh,apples,pears,Apple,Royal,Gala,Bag"
Apple Royal Gala New Zealand,https://coldstorage.com.sg/apple-royal-gala-nz-100c-083942,fruits-vegetables/fresh-fruits/apples-pears,,.,$1.20,Buy 3 @ $2.90,"fruits,vegetables,fresh,apples,pears,Apple,Royal,Gala,New,Zealand"
Apple Granny Smith,https://coldstorage.com.sg/apple-granny-smith-100c-084088,fruits-vegetables/fresh-fruits/apples-pears,,1EA,$1.20,Buy 3 @ $2.90,"fruits,vegetables,fresh,apples,pears,Apple,Granny,Smith"
Apple Granny Smith Bag ,https://coldstorage.com.sg/apple-granny-smith-bag-079158,fruits-vegetables/fresh-fruits/apples-pears,,8 a bag,$5.95,,"fruits,vegetables,fresh,apples,pears,Apple,Granny,Smith,Bag"
Apple Envy 6 Pieces,https://coldstorage.com.sg/apple-envy-6s-169167,fruits-vegetables/fresh-fruits/apples-pears,,6S,$5.90,,"fruits,vegetables,fresh,apples,pears,Apple,Envy,6,Pieces"
Pear Shingo Jumbo,https://coldstorage.com.sg/pear-shingo-jumbo-127200,fruits-vegetables/fresh-fruits/apples-pears,,1EA,$4.00,Buy 3 @ $9.90,"fruits,vegetables,fresh,apples,pears,Pear,Shingo,Jumbo"
Apple Jazz Premium Bag,https://coldstorage.com.sg/apple-jazz-prem-6s-129368,fruits-vegetables/fresh-fruits/apples-pears,,6S,$4.90,,"fruits,vegetables,fresh,apples,pears,Apple,Jazz,Premium,Bag"
PEAR CONFERENCE,https://coldstorage.com.sg/pear-conference-3s-117901,fruits-vegetables/fresh-fruits/apples-pears,,1PKT,$4.95,,"fruits,vegetables,fresh,apples,pears,PEAR,CONFERENCE"
Pear Korea 2 Pieces,https://coldstorage.com.sg/pear-korea-2s-171040,fruits-vegetables/fresh-fruits/apples-pears,,1PUN,$8.50,,"fruits,vegetables,fresh,apples,pears,Pear,Korea,2,Pieces"
Organic Royal Gala Apple Punnet,https://coldstorage.com.sg/organic-royal-gala-apple-128647,fruits-vegetables/fresh-fruits/apples-pears,,900G,$9.95,,"fruits,vegetables,fresh,apples,pears,Organic,Royal,Gala,Apple,Punnet"
ROCKIT APPLE,https://coldstorage.com.sg/rockit-apple-172112,fruits-vegetables/fresh-fruits/apples-pears,G,1PKT,$8.95,,"fruits,vegetables,fresh,apples,pears,ROCKIT,APPLE"
Blueberries South Africa 125g,https://coldstorage.com.sg/cs-blueberry-sa-125g-170585,fruits-vegetables/fresh-fruits/berries-grapes,,1PUN,$3.50,Buy 3 @ $9.90,"fruits,vegetables,fresh,berries,grapes,Blueberries,South,Africa,125g"
Grape Red Seedless USA,https://coldstorage.com.sg/scarlet-royal-red-grapes,fruits-vegetables/fresh-fruits/berries-grapes,,KG,$7.12 / 800g     ,40% off,"fruits,vegetables,fresh,berries,grapes,Grape,Red,Seedless,USA"
Grape Green Seedless USA,https://coldstorage.com.sg/grape-sugraone-seedless-115065,fruits-vegetables/fresh-fruits/berries-grapes,,1.0kg,$7.12 / 800g     ,40% off,"fruits,vegetables,fresh,berries,grapes,Grape,Green,Seedless,USA"
Strawberries +/-250g,https://coldstorage.com.sg/strawberry-nz-250g-076798,fruits-vegetables/fresh-fruits/berries-grapes,NEW ZEALAND,1PKT,$6.90,Buy 2 @ $10.95,"fruits,vegetables,fresh,berries,grapes,Strawberries,+/-250g"
Grapes Black Seedless,https://coldstorage.com.sg/grape-black-seedless-138780,fruits-vegetables/fresh-fruits/berries-grapes,,KG,$7.12 / 800g     ,40% off,"fruits,vegetables,fresh,berries,grapes,Grapes,Black,Seedless"
Driscolls Raspberries 170g,https://coldstorage.com.sg/usa-raspberries-170g-107002,fruits-vegetables/fresh-fruits/berries-grapes,,170g,$7.95,Buy 2 @ $13.90,"fruits,vegetables,fresh,berries,grapes,Driscolls,Raspberries,170g"
Blackberries Punnet,https://coldstorage.com.sg/blackberries-170g-107006,fruits-vegetables/fresh-fruits/berries-grapes,,170g,$7.95,Buy 2 @ $13.90,"fruits,vegetables,fresh,berries,grapes,Blackberries,Punnet"
Fresh Cranberries 340g,https://coldstorage.com.sg/cranberries-fresh-usa-107010,fruits-vegetables/fresh-fruits/berries-grapes,,340G,$6.50,10% off,"fruits,vegetables,fresh,berries,grapes,Fresh,Cranberries,340g"
Grape Red Flavor Punnet,https://coldstorage.com.sg/grape-red-flavor-700g-171521,fruits-vegetables/fresh-fruits/berries-grapes,,700G,$9.90,23% off,"fruits,vegetables,fresh,berries,grapes,Grape,Red,Flavor,Punnet"
Kyoho Grapes Taiwan,https://coldstorage.com.sg/grape-kyoho-taiwan-500g-076272,fruits-vegetables/fresh-fruits/berries-grapes,,500G,$9.95,,"fruits,vegetables,fresh,berries,grapes,Kyoho,Grapes,Taiwan"
Blueberries +/-125g,https://coldstorage.com.sg/blueberry-125g-aust-129399,fruits-vegetables/fresh-fruits/berries-grapes,,125G,$7.90,,"fruits,vegetables,fresh,berries,grapes,Blueberries,+/-125g"
Gooseberries +/-100g,https://coldstorage.com.sg/goosebery-100g-132030,fruits-vegetables/fresh-fruits/berries-grapes,,100G,$5.25,,"fruits,vegetables,fresh,berries,grapes,Gooseberries,+/-100g"
Orange Navel Australia,https://coldstorage.com.sg/orange-navel-aust-48-56c-077596,fruits-vegetables/fresh-fruits/oranges-citrus-fruits,,.,$1.55,Buy 3 @ $3.90,"fruits,vegetables,fresh,oranges,citrus,Orange,Navel,Australia"
Lemon South Africa,https://coldstorage.com.sg/lemon-75c-170691,fruits-vegetables/fresh-fruits/oranges-citrus-fruits,,1EA,$1.10,,"fruits,vegetables,fresh,oranges,citrus,Lemon,South,Africa"
Grapefruit Loose South Africa (Medium Size),https://coldstorage.com.sg/grapefruit-sa-45-48c-007299,fruits-vegetables/fresh-fruits/oranges-citrus-fruits,,1EA,$1.80,Buy 3 @ $3.50,"fruits,vegetables,fresh,oranges,citrus,Grapefruit,Loose,South,Africa,(Medium,Size)"
Lime Large Malaysia,https://coldstorage.com.sg/lime-large-260g-127268,fruits-vegetables/fresh-fruits/oranges-citrus-fruits,,260G,$1.60,,"fruits,vegetables,fresh,oranges,citrus,Lime,Large,Malaysia"
Orange Navel Bag USA,https://coldstorage.com.sg/orange-navel-p-p-157915,fruits-vegetables/fresh-fruits/oranges-citrus-fruits,,10S,$8.40,,"fruits,vegetables,fresh,oranges,citrus,Orange,Navel,Bag,USA"
Lime Small (Calamansi) Punnet Malaysia,https://coldstorage.com.sg/lime-small-150g-127230,fruits-vegetables/fresh-fruits/oranges-citrus-fruits,,150G,$2.25,,"fruits,vegetables,fresh,oranges,citrus,Lime,Small,(Calamansi),Punnet,Malaysia"
TANGELO 4S,https://coldstorage.com.sg/tangelo-4s-093003,fruits-vegetables/fresh-fruits/oranges-citrus-fruits,,PUN,$6.90,12% off,"fruits,vegetables,fresh,oranges,citrus,TANGELO,4S"
Zespri Sun Gold Kiwifruit 4s,https://coldstorage.com.sg/zespri-kiwifruit-gold-new-zealand-077995,fruits-vegetables/fresh-fruits/stone-fruits,,4S,$5.90,14% off,"fruits,vegetables,fresh,stone,Zespri,Sun,Gold,Kiwifruit,4s"
Kiwi Green New Zealand,https://coldstorage.com.sg/zespri-kiwifruit-green-085972,fruits-vegetables/fresh-fruits/stone-fruits,ZESPRI,4 a pack,$4.90,16% off,"fruits,vegetables,fresh,stone,Kiwi,Green,New,Zealand"
Plum Red Punnet USA,https://coldstorage.com.sg/plum-red-500g-138959,fruits-vegetables/fresh-fruits/stone-fruits,,500G,$5.90,21% off,"fruits,vegetables,fresh,stone,Plum,Red,Punnet,USA"
Plum Black Punnet,https://coldstorage.com.sg/plum-black-500g-071617,fruits-vegetables/fresh-fruits/stone-fruits,,500G,$5.90,21% off,"fruits,vegetables,fresh,stone,Plum,Black,Punnet"
Kiwi Green With Cooler Bag (8 Pieces),https://coldstorage.com.sg/kiwi-green-w-cooler-bag-170842,fruits-vegetables/fresh-fruits/stone-fruits,ZESPRI,1PUN,$8.45,14% off,"fruits,vegetables,fresh,stone,Kiwi,Green,With,Cooler,Bag,(8,Pieces)"
Black Plum 500g,https://coldstorage.com.sg/plum-black-angelno-500g-019500,fruits-vegetables/fresh-fruits/stone-fruits,,500G,$5.90,,"fruits,vegetables,fresh,stone,Black,Plum,500g"
Nectarine Yellow Punnet USA,https://coldstorage.com.sg/nectarine-yellow-500g-077481,fruits-vegetables/fresh-fruits/stone-fruits,,500G,$8.90,,"fruits,vegetables,fresh,stone,Nectarine,Yellow,Punnet,USA"
Watermelon Red Whole Malaysia,https://coldstorage.com.sg/watermelon-red-4-4-5-my-098384,fruits-vegetables/fresh-fruits/melons,,1EA,$7.30,,"fruits,vegetables,fresh,melons,Watermelon,Red,Whole,Malaysia"
Winter Melon China,https://coldstorage.com.sg/winter-melon-china-077305,fruits-vegetables/fresh-fruits/melons,,KG,$5.00,,"fruits,vegetables,fresh,melons,Winter,Melon,China"
Yellow Melon 2s,https://coldstorage.com.sg/melon-oriental-korea-2s-028965,fruits-vegetables/fresh-fruits/melons,,2S,$12.90,,"fruits,vegetables,fresh,melons,Yellow,Melon,2s"
Banana Cavendish Aloha Philippines,https://coldstorage.com.sg/banana-cavendish-philippines-073588,fruits-vegetables/fresh-fruits/tropical-fruits,,KG,$2.40 / 1000g     ,,"fruits,vegetables,fresh,tropical,Banana,Cavendish,Aloha,Philippines"
Mango Honey Thai,https://coldstorage.com.sg/mango-honey-thai-20-22c-149304,fruits-vegetables/fresh-fruits/tropical-fruits,,1EA,$2.90,,"fruits,vegetables,fresh,tropical,Mango,Honey,Thai"
COCONUT TOP-OFF,https://coldstorage.com.sg/coconut-top-off-thailand-medium-090770,fruits-vegetables/fresh-fruits/tropical-fruits,,200g,$4.50,,"fruits,vegetables,fresh,tropical,COCONUT,TOP-OFF"
Golden Honey Pineapple Indonesia,https://coldstorage.com.sg/pineapple-indonesia-7c-149289,fruits-vegetables/fresh-fruits/tropical-fruits,,1EA,$3.90,20% off,"fruits,vegetables,fresh,tropical,Golden,Honey,Pineapple,Indonesia"
Papaya Solo Medium Philippines,https://coldstorage.com.sg/papaya-gracio-phil-8-9c-102032,fruits-vegetables/fresh-fruits/tropical-fruits,,EA,$3.90,,"fruits,vegetables,fresh,tropical,Papaya,Solo,Medium,Philippines"
